ridge_rank,representative_id,job_title,hr_class,H,W,G,prediction_raw,prediction_display,absolute_target_error,review_band
22,77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",direct,1.0,0.9017417158236738,0.9508708579118369,0.9511368417147039,0.9511368417147039,0.0002659838028670203,Below 50% review band
23,84,Human Resources professional for the world leader in GIS software,direct,1.0,0.9074062527060363,0.9537031263530181,0.9468073868197083,0.9468073868197083,0.006895739533309797,Below 50% review band
24,7,Student at Humber College and Aspiring Human Resources Generalist,direct,1.0,0.9157247865678001,0.9578623932839001,0.9443769229739432,0.9443769229739432,0.013485470309956948,Below 50% review band
25,81,Senior Human Resources Business Partner at Heil Environmental,direct,1.0,0.9121087260449947,0.9560543630224974,0.9423246976444527,0.9423246976444527,0.013729665378044653,Below 50% review band
26,70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.",direct,1.0,0.8609453640333005,0.9304726820166502,0.9399762925975321,0.9399762925975321,0.009503610580881894,Below 50% review band
27,100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,direct,1.0,0.918610602232356,0.9593053011161781,0.9390870418568019,0.9390870418568019,0.020218259259376148,Below 50% review band
28,1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,direct,1.0,0.8425282206776177,0.9212641103388088,0.9314780650485616,0.9314780650485616,0.010213954709752726,Below 50% review band
29,12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",direct,1.0,0.8430235240382953,0.9215117620191476,0.921647710401764,0.921647710401764,0.00013594838261632436,Below 50% review band
30,69,"Director of Human Resources North America, Groupe Beneteau",direct,1.0,0.8372935039193096,0.9186467519596548,0.9195405278097369,0.9195405278097369,0.0008937758500821014,Below 50% review band
31,13,Human Resources Coordinator at InterContinental Buckhead Atlanta,direct,1.0,0.8270269905436054,0.9135134952718027,0.916979470689046,0.916979470689046,0.00346597541724325,Below 50% review band
32,8,HR Senior Specialist,direct,1.0,0.775182369217353,0.8875911846086765,0.8931282379532475,0.8931282379532475,0.005537053344570997,Below 50% review band
33,83,HR Manager at Endemol Shine North America,direct,1.0,0.7695976867346073,0.8847988433673036,0.8892059662434728,0.8892059662434728,0.004407122876169178,Below 50% review band
34,4,People Development Coordinator at Ryan,adjacent,0.5,0.8208241743704633,0.6604120871852317,0.6934359833206667,0.6934359833206667,0.033023896135434994,Below 50% review band
